Artists,Name,Year,PeakPosition,WeeksOnChart,Popularity,Acousticness,Danceability,Energy,Key,Tempo,Valence,Cluster
Miley Cyrus,Malibu,2017,10,15,77,0.078423172,0.526918671,0.771252261,0.727272727,0.562579022,0.32668858,0
Fall Out Boy,Centuries,2015,10,34,79,0.003668393,0.32187858,0.85317587,0.363636364,0.785289165,0.556780829,0
Ed Sheeran,Photograph,2015,10,30,65,0.620653497,0.573883162,0.343547186,0.363636364,0.365556714,0.176121302,3
One Direction,Perfect,2015,10,20,75,0.061142967,0.611683849,0.815937866,0.181818182,0.31587095,0.382886226,1
Coldplay,A Sky Full Of Stars,2014,10,26,77,0.007288034,0.501718213,0.61698053,0.545454545,0.470448196,0.125225321,0
Paramore,Ain't It Fun,2014,10,24,72,0.157462214,0.56930126,0.890413874,0.818181818,0.34114556,0.676598452,4
Maroon 5,Love Somebody,2013,10,21,60,0.148259738,0.643757159,0.782955634,0.090909091,0.439733809,0.381825893,1
Demi Lovato,Heart Attack,2013,10,20,53,0.074230933,0.442153494,0.765932546,0.727272727,0.77255318,0.520729509,0
Train,Drive By,2012,10,36,74,0.0010917,0.746849943,0.830833067,0.090909091,0.452142914,0.727494433,1
Chris Brown,Don't Wake Me Up,2012,10,28,63,0.056030481,0.560137457,0.675497393,0.636363636,0.48877198,0.181422967,0
Kelly Clarkson,Mr. Know It All,2011,10,23,50,0.029036551,0.644902635,0.798914778,0.454545455,0.291342613,0.432721875,1
DJ Khaled,I'm On One,2011,10,23,67,0.054803484,0.343642612,0.798914778,1,0.620529299,0.42742021,0
Demi Lovato,Skyscraper,2011,10,15,68,0.15132723,0.526918671,0.558463666,0.636363636,0.339844208,0.162336974,2
Adam Lambert,Whataya Want From Me,2010,10,30,64,0.007216459,0.374570447,0.66698585,1,0.846372557,0.434842541,0
Jay Sean,Do You Remember,2010,10,20,67,0.024742063,0.849942726,0.651026705,1,0.475690611,0.814441735,4
Young Money,Every Girl,2009,10,20,52,0.003228719,0.594501718,0.716991169,0.545454545,0.168676259,0.770968084,4
Hannah Montana,He Could Be The One,2009,10,5,67,0.001572274,0.560137457,0.891477817,0.363636364,0.476566403,0.644788464,1
Metro Station,Shake It,2008,10,30,69,0.002257347,0.578465063,0.956378338,0.363636364,0.624871252,0.800657406,1
Jesse McCartney,Leavin',2008,10,24,66,0.028934302,0.657502864,0.69571231,0.818181818,0.18821505,0.902449369,4
Taylor Swift,Change,2008,10,3,43,0.00481359,0.498281787,0.744653687,0.454545455,0.291848352,0.20050896,0
Lil Mama,Lip Gloss,2007,10,11,64,0.419221526,0.579610538,0.865943185,0.181818182,0.863789711,0.959707348,1
Panic! At The Disco,I Write Sins Not Tragedies,2006,10,37,74,0.095907876,0.520045819,0.786147462,0.818181818,0.748382561,0.6363058,0
Chris Brown,Say Goodbye,2006,10,23,67,0.001705198,0.786941581,0.474412172,0.090909091,0.409358637,0.374403563,1
Field Mob,So What,2006,10,21,54,0.059200222,0.936998855,0.457389084,0.545454545,0.439795484,0.913052699,4
Weezer,Beverly Hills,2005,10,43,70,0.095294377,0.664375716,0.815937866,0.454545455,0.24168152,0.748701092,4
The Killers,Mr. Brightside,2005,10,38,78,0.00103035,0.278350515,0.923396106,0.090909091,0.612431309,0.208991623,1
No Doubt,It's My Life,2004,10,28,57,0.002697021,0.564719359,0.738270029,0.727272727,0.478589359,0.78051108,4
Fabolous,Breathe,2004,10,20,50,0.347646714,0.687285223,0.908500904,0.909090909,0.211608558,0.503764182,2
Monica,So Gone,2003,10,22,67,0.179957155,0.578465063,0.52760932,0.727272727,0.20511413,0.584349486,2
Craig David,7 Days,2002,10,20,55,0.266869427,0.608247423,0.837216725,0.363636364,0.211583888,0.898208037,4
Avril Lavigne,Sk8er Boi,2002,10,20,76,6.71E-05,0.428407789,0.897861475,0,0.624273,0.476195525,1
Enya,Only Time,2001,10,32,71,0.859917868,0.349369989,0.205234599,0.272727273,0.21022086,0.188845297,3
Tamia,Stranger In My House,2001,10,21,48,0.105314851,0.644902635,0.579742526,0,0.439265075,0.181422967,1
Michael Jackson,You Rock My World,2001,10,20,64,0.038852526,0.848797251,0.65634642,0.363636364,0.285446438,0.975612342,4
Destiny's Child,Emotion,2001,10,20,59,0.16666469,0.342497136,0.554207894,0.636363636,0.770678245,0.328809246,0
LFO,Girl On TV,1999,10,17,51,0.133944776,0.658648339,0.702095968,0.363636364,0.29187919,0.336231577,1
